# \lambda(\mu),    U_\lambda,    B_\lambda,    V_\nu,    O_{día},    O_{noche}
          0.28,         0.00,         0.00,     0.00,       0.00,         0.00
          0.30,         0.13,         0.00,     0.00,       0.00,         0.00
          0.32,         0.60,         0.00,     0.00,       0.00,         0.00
          0.34,         0.92,         0.00,     0.00,       0.00,         0.00
          0.36,         1.00,         0.00,     0.00,       0.00,         0.00
          0.38,         0.72,         0.13,     0.00,       0.00,         0.00
          0.40,         0.09,         0.92,     0.00,       0.00,         0.02
          0.42,         0.00,         1.00,     0.00,       0.00,         0.08
          0.44,         0.00,         0.92,     0.00,       0.02,         0.21
          0.46,         0.00,         0.76,     0.00,       0.06,         0.41
          0.48,         0.00,         0.56,     0.01,       0.14,         0.65
          0.50,         0.00,         0.39,     0.36,       0.32,         0.90
          0.52,         0.00,         0.20,     0.91,       0.71,         0.96
          0.54,         0.00,         0.07,     0.98,       0.95,         0.68
          0.56,         0.00,         0.00,     0.80,       1.00,         0.35
          0.58,         0.00,         0.00,     0.59,       0.87,         0.14
          0.60,         0.00,         0.00,     0.39,       0.63,         0.05
          0.62,         0.00,         0.00,     0.22,       0.38,         0.02
          0.64,         0.00,         0.00,     0.09,       0.18,         0.01
          0.66,         0.00,         0.00,     0.03,       0.06,         0.00
          0.68,         0.00,         0.00,     0.01,       0.02,         0.00
          0.70,         0.00,         0.00,     0.00,       0.00,         0.00
